°C	ಡಿಗ್ರಿ ಸೆಲ್ಸಿಯಸ್
°F	ಡಿಗ್ರಿ ಫ್ಯಾರನ್‌ಹೀಟ್
K	ಕೆಲ್ವಿನ್
g	ಗ್ರಾಂ
kg	ಕಿಲೋಗ್ರಾಂ
mg	ಮಿಲಿಗ್ರಾಂ
lb	ಪೌಂಡ್
oz	ಔನ್ಸ್
t	ಟನ್
m	ಮೀಟರ್
cm	ಸೆಂಟಿಮೀಟರ್
mm	ಮಿಲಿಮೀಟರ್
km	ಕಿಲೋಮೀಟರ್
mi	ಮೈಲು
ft	ಅಡಿ
in	ಇಂಚು
yd	ಗಜ
m²	ಚದರ ಮೀಟರ್
cm²	ಚದರ ಸೆಂಟಿಮೀಟರ್
km²	ಚದರ ಕಿಲೋಮೀಟರ್
ft²	ಚದರ ಅಡಿ
m³	ಘನ ಮೀಟರ್
cm³	ಘನ ಸೆಂಟಿಮೀಟರ್
l	ಲೀಟರ್
L	ಲೀಟರ್
ml	ಮಿಲಿಲೀಟರ್
mL	ಮಿಲಿಲೀಟರ್
kl	ಕಿಲೋಲೀಟರ್
gal	ಗ್ಯಾಲನ್
W	ವಾಟ್
KW	ಕಿಲೋವಾಟ್
MW	ಮೆಗಾವಾಟ್
V	ವೋಲ್ಟ್
A	ಆಂಪಿಯರ್
Hz	ಹರ್ಟ್ಜ್
GHz	ಗಿಗಾಹರ್ಟ್ಜ್
GB	ಗಿಗಾಬೈಟ್
MB	ಮೆಗಾಬೈಟ್
KB	ಕಿಲೋಬೈಟ್
TB	ಟೆರಾಬೈಟ್
B	ಬೈಟ್
b	ಬಿಟ್
s	ಸೆಕೆಂಡು
sec	ಸೆಕೆಂಡು
min	ನಿಮಿಷ
hr	ಗಂಟೆ
h	ಗಂಟೆ
d	ದಿನ
yr	ವರ್ಷ
km/h	ಕಿಲೋಮೀಟರ್ ಪ್ರತಿ ಗಂಟೆ
km/hr	ಕಿಲೋಮೀಟರ್ ಪ್ರತಿ ಗಂಟೆ
m/s	ಮೀಟರ್ ಪ್ರತಿ ಸೆಕೆಂಡು
%	ಶೇಕಡಾ
